profile,method,n,returned_episode_solved_mean,returned_episode_solved_std,returned_episode_returns_mean,returned_episode_returns_std,returned_episode_lengths_mean,returned_episode_lengths_std,d_p50_mean,d_p50_std,d_p95_mean,d_p95_std,d_p99_mean,d_p99_std,p_violate_mean,p_violate_std,max_delta_action_mean,max_delta_action_std,max_ddelta_action_mean,max_ddelta_action_std
long_tail,naive,5,0.000000,0.000000,-0.024219,0.009726,245.300000,4.343926,0.000000,0.000000,1.000000,0.000000,4.000000,0.000000,0.039844,0.010482,2.547383,0.014094,4.492304,0.022017
long_tail,realtime,5,0.000000,0.000000,-0.006250,0.005241,253.191406,1.074410,0.000000,0.000000,1.000000,0.000000,4.000000,0.000000,0.039844,0.010482,2.142091,0.014743,3.749981,0.027765
tail_controlled,naive,5,0.000000,0.000000,-0.025000,0.011254,245.363281,4.181742,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,0.000000,0.000000,2.548189,0.013945,4.494214,0.022169
tail_controlled,realtime,5,0.000000,0.000000,-0.005469,0.004454,253.810156,1.065575,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,0.000000,0.000000,2.135848,0.010262,3.743051,0.019483
